yyyydddhhmm_ID,dunno,airTemperature  ,dewPoint               ,windDirection          ,windSpeed              ,maximumWindGust       ,cloudCover             ,solarRadiation         ,barometricPressure     ,waterTemperature       ,significantWaveHeight ,wavePeriod   
200500118364PTIM4   ,9,19.0,999.9,104,1.7,4.3,999,9999.9,30.6,44.1,99.9,99.9
200500118544PTIM4   ,9,19.0,999.9,80,0.0,3.5,999,9999.9,30.6,44.1,99.9,99.9
200500120004PTIM4   ,9,19.0,999.9,335,5.2,6.0,999,9999.9,30.6,44.1,99.9,99.9
200500121064PTIM4   ,9,19.9,999.9,130,3.5,5.2,999,9999.9,30.6,44.1,99.9,99.9
200500121184PTIM4   ,9,19.9,999.9,127,3.5,3.5,999,9999.9,30.6,44.1,99.9,99.9
200500121484PTIM4   ,9,21.0,999.9,130,2.5,5.2,999,9999.9,30.6,44.1,99.9,99.9
200500121544PTIM4   ,9,21.0,999.9,111,6.0,8.7,999,9999.9,30.6,44.1,99.9,99.9
200500122064PTIM4   ,9,21.0,999.9,149,2.5,7.8,999,9999.9,30.6,44.1,99.9,99.9
200500207004PTIM4   ,9,17.1,999.9,101,27.0,33.0,999,9999.9,30.3,44.1,99.9,99.9
200500208004PTIM4   ,9,18.0,999.9,104,26.0,33.0,999,9999.9,30.3,44.1,99.9,99.9
200500208244PTIM4   ,9,17.1,999.9,102,27.0,32.1,999,9999.9,30.3,44.1,99.9,99.9
200500208484PTIM4   ,9,18.0,999.9,106,26.0,30.3,999,9999.9,30.3,44.1,99.9,99.9
200500209004PTIM4   ,9,18.0,999.9,107,29.5,33.8,999,9999.9,30.2,44.1,99.9,99.9
200500209064PTIM4   ,9,18.0,999.9,110,27.8,34.8,999,9999.9,30.2,44.1,99.9,99.9
200500209184PTIM4   ,9,18.0,999.9,102,30.3,34.8,999,9999.9,30.2,44.1,99.9,99.9
200500209304PTIM4   ,9,17.1,999.9,102,34.8,38.3,999,9999.9,30.2,45.0,99.9,99.9
200500209484PTIM4   ,9,17.1,999.9,105,28.8,35.6,999,9999.9,30.2,44.1,99.9,99.9
200500210004PTIM4   ,9,18.0,999.9,102,29.5,34.8,999,9999.9,30.2,44.1,99.9,99.9
200500210184PTIM4   ,9,18.0,999.9,104,27.8,32.1,999,9999.9,30.2,44.1,99.9,99.9
200500210364PTIM4   ,9,18.0,999.9,103,28.8,32.1,999,9999.9,30.2,44.1,99.9,99.9
200500210484PTIM4   ,9,19.0,999.9,104,27.8,32.1,999,9999.9,30.2,44.1,99.9,99.9
200500211004PTIM4   ,9,19.0,999.9,104,27.0,33.0,999,9999.9,30.2,44.1,99.9,99.9
200500211184PTIM4   ,9,19.0,999.9,106,26.0,31.3,999,9999.9,30.2,44.1,99.9,99.9
200500211484PTIM4   ,9,19.9,999.9,106,24.3,29.5,999,9999.9,30.1,44.1,99.9,99.9
200500212004PTIM4   ,9,19.9,999.9,111,21.8,27.0,999,9999.9,30.1,44.1,99.9,99.9
200500212184PTIM4   ,9,19.9,999.9,105,20.8,24.3,999,9999.9,30.1,44.1,99.9,99.9
200500212304PTIM4   ,9,19.9,999.9,125,12.2,28.8,999,9999.9,30.1,44.1,99.9,99.9
200500212484PTIM4   ,9,19.9,999.9,107,19.0,21.8,999,9999.9,30.1,44.1,99.9,99.9
200500213004PTIM4   ,9,19.9,999.9,108,17.3,20.0,999,9999.9,30.1,44.1,99.9,99.9
200500213064PTIM4   ,9,19.9,999.9,105,18.3,20.0,999,9999.9,30.1,44.1,99.9,99.9
200500213184PTIM4   ,9,19.9,999.9,105,16.5,19.0,999,9999.9,30.1,44.1,99.9,99.9
200500213304PTIM4   ,9,19.9,999.9,104,14.8,19.0,999,9999.9,30.1,44.1,99.9,99.9
200500213484PTIM4   ,9,21.0,999.9,107,14.0,16.5,999,9999.9,30.1,44.1,99.9,99.9
200500214004PTIM4   ,9,21.0,999.9,105,14.0,15.6,999,9999.9,30.1,44.1,99.9,99.9
200500214184PTIM4   ,9,21.0,999.9,106,12.2,14.8,999,9999.9,30.1,44.1,99.9,99.9
200500214364PTIM4   ,9,21.0,999.9,103,10.5,13.0,999,9999.9,30.1,44.1,99.9,99.9
200500214484PTIM4   ,9,21.0,999.9,107,10.5,12.2,999,9999.9,30.1,44.1,99.9,99.9
200500215004PTIM4   ,9,21.0,999.9,100,9.5,11.3,999,9999.9,30.1,44.1,99.9,99.9
200500215184PTIM4   ,9,21.0,999.9,114,8.7,10.5,999,9999.9,30.1,44.1,99.9,99.9
200500215244PTIM4   ,9,21.9,999.9,111,7.8,9.5,999,9999.9,30.1,44.1,99.9,99.9
200500215484PTIM4   ,9,21.9,999.9,121,7.0,9.5,999,9999.9,30.1,44.1,99.9,99.9
200500216004PTIM4   ,9,21.9,999.9,118,7.0,8.7,999,9999.9,30.1,44.1,99.9,99.9
200500216064PTIM4   ,9,21.9,999.9,115,7.0,8.7,999,9999.9,30.1,44.1,99.9,99.9
200500216184PTIM4   ,9,21.9,999.9,112,7.0,7.8,999,9999.9,30.1,44.1,99.9,99.9
200500216304PTIM4   ,9,21.9,999.9,114,4.3,7.8,999,9999.9,30.1,44.1,99.9,99.9
200500216484PTIM4   ,9,23.0,999.9,116,7.0,7.8,999,9999.9,30.1,44.1,99.9,99.9
200500217004PTIM4   ,9,23.0,999.9,124,3.5,7.8,999,9999.9,30.1,44.1,99.9,99.9
200500217184PTIM4   ,9,21.9,999.9,118,4.3,6.0,999,9999.9,30.1,44.1,99.9,99.9
200500217364PTIM4   ,9,23.0,999.9,131,3.5,4.3,999,9999.9,30.1,44.1,99.9,99.9
200500217484PTIM4   ,9,23.0,999.9,121,2.5,5.2,999,9999.9,30.1,44.1,99.9,99.9
200500218004PTIM4   ,9,24.1,999.9,125,2.5,4.3,999,9999.9,30.1,44.1,99.9,99.9
200500218184PTIM4   ,9,24.1,999.9,124,3.5,3.5,999,9999.9,30.1,44.1,99.9,99.9
200500218484PTIM4   ,9,26.1,999.9,74,0.8,1.7,999,9999.9,30.1,44.1,99.9,99.9
200500219004PTIM4   ,9,27.0,999.9,105,1.7,3.5,999,9999.9,30.1,44.1,99.9,99.9
200500219184PTIM4   ,9,30.0,999.9,261,9.5,12.2,999,9999.9,30.1,44.1,99.9,99.9
200500219304PTIM4   ,9,33.1,999.9,258,7.0,12.2,999,9999.9,30.1,44.1,99.9,99.9
200500219364PTIM4   ,9,33.1,999.9,258,7.0,11.3,999,9999.9,30.1,44.1,99.9,99.9
200500219484PTIM4   ,9,33.1,999.9,262,7.0,13.0,999,9999.9,30.1,44.1,99.9,99.9
200500219544PTIM4   ,9,33.1,999.9,278,12.2,14.8,999,9999.9,30.1,44.1,99.9,99.9
200500220064PTIM4   ,9,33.1,999.9,280,14.8,18.3,999,9999.9,30.1,44.1,99.9,99.9
200500220184PTIM4   ,9,33.1,999.9,285,15.6,20.8,999,9999.9,30.1,44.1,99.9,99.9
200500220364PTIM4   ,9,33.1,999.9,266,20.0,23.5,999,9999.9,30.1,44.1,99.9,99.9
200500220544PTIM4   ,9,33.1,999.9,260,13.0,20.8,999,9999.9,30.1,44.1,99.9,99.9
200500221244PTIM4   ,9,33.1,999.9,263,14.8,20.0,999,9999.9,30.1,44.1,99.9,99.9
200500301004PTIM4   ,9,33.1,999.9,269,14.8,17.3,999,9999.9,30.2,44.1,99.9,99.9
200500301304PTIM4   ,9,33.1,999.9,272,14.0,18.3,999,9999.9,30.2,44.1,99.9,99.9
200500301364PTIM4   ,9,32.0,999.9,267,14.8,19.0,999,9999.9,30.2,44.1,99.9,99.9
200500301484PTIM4   ,9,32.0,999.9,274,13.0,17.3,999,9999.9,30.2,44.1,99.9,99.9
200500302004PTIM4   ,9,32.0,999.9,272,13.0,18.3,999,9999.9,30.2,44.1,99.9,99.9
